Date,Package Name,Daily Device Installs,Daily Device Uninstalls,Daily Device Upgrades,Total User Installs,Daily User Installs,Daily User Uninstalls,Active Device Installs,Install events,Update events,Uninstall events
1/1/2021,com.solutions.plus2,17,0,0,0,16,13,864,21,11,12
1/2/2021,com.solutions.plus2,22,0,0,0,19,24,846,28,5,27
1/3/2021,com.solutions.plus2,19,0,0,0,19,18,857,24,6,17
1/4/2021,com.solutions.plus2,21,0,0,0,17,16,874,24,4,18
1/5/2021,com.solutions.plus2,21,0,0,0,21,12,877,25,7,16
1/6/2021,com.solutions.plus2,20,0,0,0,17,18,869,26,2,20
1/7/2021,com.solutions.plus2,21,0,0,0,24,18,869,24,4,19
1/8/2021,com.solutions.plus2,21,0,0,0,21,19,891,24,5,19
1/9/2021,com.solutions.plus2,18,0,0,0,18,9,877,20,3,10
1/10/2021,com.solutions.plus2,19,0,0,0,17,22,896,20,4,19
1/11/2021,com.solutions.plus2,8,0,0,0,8,12,882,11,1,10
1/12/2021,com.solutions.plus2,23,0,0,0,23,25,882,26,3,23
1/13/2021,com.solutions.plus2,18,0,0,0,18,9,892,23,1,10
1/14/2021,com.solutions.plus2,12,0,0,0,11,11,890,14,3,12
1/15/2021,com.solutions.plus2,12,0,0,0,11,20,891,16,2,19
1/16/2021,com.solutions.plus2,10,0,0,0,9,11,888,14,0,11
1/17/2021,com.solutions.plus2,40,0,0,0,38,28,911,47,2,29
1/18/2021,com.solutions.plus2,20,0,0,0,19,14,916,24,2,15
1/19/2021,com.solutions.plus2,23,0,0,0,23,14,926,26,1,15
1/20/2021,com.solutions.plus2,20,0,0,0,19,23,932,31,2,27
1/21/2021,com.solutions.plus2,26,0,0,0,24,16,945,27,0,17
1/22/2021,com.solutions.plus2,15,0,0,0,15,12,929,18,3,13
1/23/2021,com.solutions.plus2,23,0,0,0,18,5,963,25,0,6
1/24/2021,com.solutions.plus2,27,0,0,0,26,18,977,34,0,20
1/25/2021,com.solutions.plus2,25,0,0,0,25,15,976,26,1,17
1/26/2021,com.solutions.plus2,32,0,0,0,29,17,1009,34,2,17
1/27/2021,com.solutions.plus2,31,0,0,0,30,14,1001,34,2,15
1/28/2021,com.solutions.plus2,22,0,0,0,19,13,1041,26,1,13
1/29/2021,com.solutions.plus2,19,0,0,0,17,21,1028,24,2,23
1/30/2021,com.solutions.plus2,18,0,0,0,14,13,1038,19,0,14
1/31/2021,com.solutions.plus2,23,0,0,0,24,13,1055,30,0,14
2/1/2021,com.solutions.plus2,23,0,0,0,24,22,1066,25,0,21
2/2/2021,com.solutions.plus2,24,0,0,0,25,17,1069,26,0,17
2/3/2021,com.solutions.plus2,25,0,0,0,23,19,1064,27,0,20
2/4/2021,com.solutions.plus2,17,0,0,0,17,13,1084,17,0,12
2/5/2021,com.solutions.plus2,8,0,0,0,7,7,1076,10,0,7
2/6/2021,com.solutions.plus2,11,0,0,0,10,14,1074,16,2,13
2/7/2021,com.solutions.plus2,18,0,0,0,16,18,1075,21,0,19
2/8/2021,com.solutions.plus2,14,0,0,0,14,13,1073,25,1,13
2/9/2021,com.solutions.plus2,18,0,0,0,19,21,1087,20,0,22
2/10/2021,com.solutions.plus2,15,0,0,0,14,10,1096,19,1,11
2/11/2021,com.solutions.plus2,22,0,0,0,15,22,1098,31,1,24
2/12/2021,com.solutions.plus2,12,0,0,0,7,10,1100,13,2,11
2/13/2021,com.solutions.plus2,16,0,0,0,14,10,1076,17,0,12
2/14/2021,com.solutions.plus2,24,0,0,0,20,15,1108,27,1,15
2/15/2021,com.solutions.plus2,11,0,0,0,10,9,1100,14,0,12
2/16/2021,com.solutions.plus2,14,0,0,0,15,18,1119,17,0,18
2/17/2021,com.solutions.plus2,18,0,0,0,17,19,1114,23,1,20
2/18/2021,com.solutions.plus2,24,0,0,0,23,8,1135,28,0,9
2/19/2021,com.solutions.plus2,17,0,0,0,16,16,1134,21,2,16
2/20/2021,com.solutions.plus2,13,0,0,0,11,14,1150,18,0,14
2/21/2021,com.solutions.plus2,22,0,0,0,20,16,1148,28,3,16
2/22/2021,com.solutions.plus2,25,0,0,0,21,15,1153,27,1,16
2/23/2021,com.solutions.plus2,13,0,0,0,11,9,1163,18,0,9
2/24/2021,com.solutions.plus2,19,0,0,0,19,8,1191,21,1,8
2/25/2021,com.solutions.plus2,17,0,0,0,14,22,1184,21,1,23
2/26/2021,com.solutions.plus2,18,0,0,0,13,17,1189,21,0,19
2/27/2021,com.solutions.plus2,14,0,0,0,13,10,1192,14,0,11
2/28/2021,com.solutions.plus2,17,0,0,0,16,12,1184,21,0,17
3/1/2021,com.solutions.plus2,24,0,0,0,18,15,1201,29,0,17
3/2/2021,com.solutions.plus2,14,0,0,0,13,15,1212,21,0,14
3/3/2021,com.solutions.plus2,19,0,0,0,20,19,1187,24,0,19
3/4/2021,com.solutions.plus2,18,0,0,0,18,17,1208,27,1,20
3/5/2021,com.solutions.plus2,8,0,0,0,8,13,1211,12,0,14
3/6/2021,com.solutions.plus2,16,0,0,0,16,21,1205,21,2,19
